Genre_Name,Genre_ID
Action,1
Adventure,2
Science Fiction,3
Crime,4
Mystery,5
Thriller,6
Animation,7
Comedy,8
Family,9
Fantasy,10
War,11
Horror,12
Drama,13
Music,14
Romance,15
Western,16
History,17
TV Movie,18
Documentary,19
